Sensor,Btemp,Bperp,Mst Date,Slv Date,Track,Mst Frame,Slv Frame,Centre Lat,Centre Lon,Look Angle,Heading,Polarization,Results
PALSAR,92,-656.21,20071121,"20080221",365,662.00,662.00,-28.014728,151.241403,34.3,A,HH,"http://129.94.167.40/Null"
PALSAR,322,-355.5,20070103,"20071121",365,662.00,662.00,-28.008563,151.230419,34.3,A,HH,"http://129.94.167.40/1_20070103_20071121_HH_x28.00856_151.23042_x28.01473_151.24140.jpg"
PALSAR,46,-160.52,20071006,"20071121",365,662.00,662.00,-28.016096,151.231663,34.3,A,HH,"http://129.94.167.40/1_20071006_20071121_HH_x28.01610_151.23166_x28.01473_151.24140.jpg"
PALSAR,276,324.71,20070103,"20071006",365,662.00,662.00,-28.008563,151.230419,34.3,A,HH,"http://129.94.167.40/1_20070103_20071006_HH_x28.00856_151.23042_x28.01610_151.23166.jpg"
PALSAR,46,-257.49,20080106,"20080221",365,662.00,662.00,-28.014766,151.22589,34.3,A,HH,"http://129.94.167.40/1_20080106_20080221_HH_x28.01477_151.22589_x28.01860_151.22382.jpg"
