Sensor,Btemp,Bperp,Mst Date,Slv Date,Track,Mst Frame,Slv Frame,Centre Lat,Centre Lon,Look Angle,Heading,Polarization,Results
PALSAR,460,-3404.34,20090925,"20101229",337,630.00,630.00,-43.582641,172.077453,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track337/1_20090925_20101229_HH_x43.58264_172.07745_x43.59376_172.03452.jpg"
PALSAR,368,-2862.19,20091226,"20101229",337,630.00,630.00,-43.584981,172.070189,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track337/1_20091226_20101229_HH_x43.58498_172.07019_x43.59376_172.03452.jpg"
PALSAR,322,-2441.48,20100210,"20101229",337,630.00,630.00,-43.583314,172.077548,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track337/1_20100210_20101229_HH_x43.58331_172.07755_x43.59376_172.03452.jpg"
PALSAR,276,-1810.15,20100328,"20101229",337,630.00,630.00,-43.582648,172.079689,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track337/1_20100328_20101229_HH_x43.58265_172.07969_x43.59376_172.03452.jpg"
PALSAR,138,-1377.35,20100813,"20101229",337,630.00,630.00,-43.587311,172.063966,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track337/1_20100813_20101229_HH_x43.58731_172.06397_x43.59376_172.03452.jpg"
PALSAR,92,-1022.15,20100928,"20101229",337,630.00,630.00,-43.588307,172.059628,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track337/1_20100928_20101229_HH_x43.58831_172.05963_x43.59376_172.03452.jpg"
